gcc,2lev_1_16_4_0,2506212,50000002
gcc,2lev_1_256_8_0,2161116,50000002
gcc,2lev_1_2_1_0,2607205,50000002
gcc,2lev_1_4_2_0,2578040,50000002
gcc,2lev_1_65536_16_0,1485661,50000002
gcc,2lev_512_1024_2_0,1069188,50000001
gcc,2lev_512_16_4_0,1257195,50000001
gcc,2lev_512_2048_4_0,1033728,50000001
gcc,2lev_512_256_8_0,1148199,50000001
gcc,2lev_512_2_1_0,1652904,50000001
gcc,2lev_512_4096_8_0,1043144,50000001
gcc,2lev_512_4_2_0,1377019,50000001
gcc,2lev_512_512_1_0,1141319,50000001
gcc,2lev_512_65536_16_0,987179,50000001
gcc,2lev_512_8192_16_0,1035900,50000001
vortex,vortex_2lev_512_131072_8_0,228609,50000001
vortex,vortex_2lev_512_2048_2_0,338494,50000001
vortex,vortex_2lev_512_256_8_0,410472,50000001
vortex,vortex_2lev_512_33554432_16_0,185011,50000001
vortex,vortex_2lev_512_512_1_0,410206,50000001
vortex,vortex_2lev_512_65536_16_0,276150,50000001
vortex,vortex_2lev_512_8192_4_0,292680,50000003
